email,senha
0.08198688980560359.@gmail.com,dutra123      
0.8345673308498318.@gmail.com,dutra123      
0.27239031490419896.@gmail.com,dutra123     
0.9585303768702227.@gmail.com,dutra123      
0.16710067956079588.@gmail.com,dutra123      
0.3828653360475192.@gmail.com,dutra123      
0.8147150771616534.@gmail.com,dutra123      
0.5659800554198734.@gmail.com,dutra123       
0.3585625414458777.@gmail.com,dutra123      
0.9446544553009996.@gmail.com,dutra123   
0.47458746729813994.@gmail.com,dutra123       
0.615945526791987.@gmail.com,dutra123      
0.2098536969906442.@gmail.com,dutra123       
0.3255645793377974.@gmail.com,dutra123                 
0.4272178902057607.@gmail.com,dutra123                 
0.7840576802464053.@gmail.com,dutra123                
0.11464116239212895.@gmail.com,dutra123       
0.5484609493254896.@gmail.com,dutra123       
0.8812883647008481.@gmail.com,dutra123       
0.5994871220360467.@gmail.com,dutra123      
0.39758590637236024.@gmail.com,dutra123        
0.790755122286266.@gmail.com,dutra123        
0.06998388614089031.@gmail.com,dutra123        
0.39348520577531626.@gmail.com,dutra123        
0.7523795791157485.@gmail.com,dutra123      
0.8707447749860756.@gmail.com,dutra123        
0.38423672390501046.@gmail.com,dutra123        
